Gemeinde;Wahlberechtigte;A1;A2;A3;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;CDU;SPD;GRÜNE;FDP;Volksabstimmung;AUF;BIG;BüSo;DKP;DIE LINKE;REP;DIE VIOLETTEN;FAMILIE;NPD;ödp;PBC;Die PARTEI;PIRATEN;RSB;Einzelbewerber;
08125078 Oedheim;4432;4025;407;0;3061;420;46;3015;1374;772;519;102;23;;3;;;55;43;;;41;25;;;58;;;
08125079 Offenau;1917;1663;254;0;1657;245;53;1604;735;354;266;76;10;;6;;;58;35;;;25;10;;;29;;;
08125081 Pfaffenhofen;1638;1438;200;0;1160;191;23;1137;449;292;175;60;11;;;;;30;34;;;30;18;;;38;;;
08125084 Roigheim;1007;887;120;0;662;112;15;647;289;169;105;20;3;;0;;;20;14;;;9;9;;;9;;;
08125086 Schwaigern, Stadt;7860;7102;758;0;5458;740;71;5387;2028;1409;1021;413;38;;;;;127;83;;;82;67;;;119;;;
08125087 Siegelsbach;1191;1072;119;0;760;113;10;750;335;170;117;44;5;;;;;14;22;;;14;16;;;13;;;
08125094 Talheim;3699;3154;545;0;2818;518;32;2786;1187;601;584;191;;;10;;;56;42;;;37;21;;;57;;;
08125096 Untereisesheim;2916;2679;237;0;2036;230;21;2015;655;651;392;123;13;;7;;;55;35;;;22;8;;;54;;;
08125098 Untergruppenbach;6013;5313;700;0;4430;678;47;4383;1761;1088;973;201;41;;;;;85;51;;;47;31;;;105;;;
08125102 Weinsberg, Stadt;8388;7522;866;0;5561;834;64;5497;2001;1410;1250;322;23;;29;;;190;72;;;52;37;;;111;;;
08125103 Widdern, Stadt;1317;1204;113;0;836;106;7;829;344;198;173;39;2;;1;;;15;10;;;19;11;;;17;;;
08125107 Wüstenrot;5134;4618;516;0;3311;482;54;3257;1326;843;585;158;18;;2;;;87;62;;;62;32;;;82;;;
08125108 Zaberfeld;2933;2679;254;0;2109;245;28;2081;794;467;425;109;17;;;;;68;65;;;60;19;;;57;;;
08125110 Obersulm;10182;9229;953;0;7353;902;103;7250;2452;2491;1349;315;38;;14;;;178;88;;;168;41;;;116;;;
08125111 Hardthausen am Kocher;2903;2689;214;0;1875;206;40;1835;763;378;345;122;17;;5;;;52;30;;;69;20;;;34;;;
08125113 Langenbrettach;2719;2493;226;0;1897;215;30;1867;828;355;373;112;16;;2;;;35;26;;;54;24;;;42;;;
08126011 Bretzfeld;9328;8633;695;0;6106;657;85;6021;2324;1474;1175;378;;90;;;;184;85;;;132;;;;179;;;
08126020 Dörzbach;1860;1732;128;0;1301;124;28;1273;734;219;177;58;;10;;;;32;13;;;15;;;;15;;;
08126028 Forchtenberg, Stadt;3775;3466;309;0;2384;302;42;2342;891;551;482;161;;22;;;;73;34;;;51;;;;77;;;
08126039 Ingelfingen, Stadt;4287;3879;408;0;3013;390;56;2957;1369;563;549;233;;40;;;;67;29;;;48;;;;59;;;
08126045 Krautheim, Stadt;3593;3331;262;0;2270;238;29;2241;1233;337;360;107;;23;;;;58;31;;;34;;;;58;;;
