Gemeinde;Wahlberechtigte;A1;A2;A3;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;CDU;SPD;GRÜNE;FDP;Volksabstimmung;AUF;BIG;BüSo;DKP;DIE LINKE;REP;DIE VIOLETTEN;FAMILIE;NPD;ödp;PBC;Die PARTEI;PIRATEN;RSB;Einzelbewerber;
08437056 Illmensee;1508;1352;156;0;1088;152;23;1065;467;148;338;42;;;;;;15;16;;;9;17;;;13;;;
08437059 Inzigkofen;2165;1988;177;0;1458;167;26;1432;762;207;310;59;;;;;;17;18;;;12;16;;;31;;;
08437065 Krauchenwies;3762;3544;218;0;2579;209;47;2532;1317;400;459;126;;;;;;61;49;;;33;43;;;44;;;
08437072 Leibertingen;1716;1619;97;0;1263;95;33;1230;708;164;208;64;;;;;;16;15;;;17;14;;;24;;;
08437076 Mengen, Stadt;7497;6927;570;0;4583;534;76;4507;2342;751;725;247;;;;;;96;158;;;42;68;;;78;;;
08437078 Meßkirch, Stadt;6095;5583;512;0;3383;474;53;3330;1678;623;589;168;;;;;;89;55;;;31;35;;;62;;;
08437082 Neufra;1460;1360;100;0;952;95;23;929;472;155;162;37;;;;;;20;29;;;20;8;;;26;;;
08437086 Ostrach;5221;4940;281;0;3335;259;63;3272;1702;525;551;166;;;;;;65;79;;;44;59;;;81;;;
08437088 Pfullendorf, Stadt;9114;8441;673;0;4975;637;96;4879;2440;919;999;201;;;;;;85;64;;;46;36;;;89;;;
08437100 Bad Saulgau, Stadt;12785;11627;1158;0;8043;1110;128;7915;3715;1560;1450;503;;;;;;169;190;;;69;110;;;149;;;
08437101 Scheer, Stadt;1908;1782;126;0;1236;123;31;1205;563;242;248;35;;;;;;31;32;;;14;18;;;22;;;
08437102 Schwenningen;1258;1104;154;0;940;148;16;924;550;139;117;34;;;;;;22;12;;;15;14;;;21;;;
08437104 Sigmaringen, Stadt;11594;10364;1230;0;7014;1154;79;6935;3031;1219;1877;339;;;;;;132;65;;;69;64;;;139;;;
08437105 Sigmaringendorf;2703;2507;196;0;1872;187;25;1847;839;371;417;85;;;;;;27;28;;;22;22;;;36;;;
08437107 Stetten am kalten Markt;3860;3398;462;0;2611;439;59;2552;1393;441;366;122;;;;;;51;62;;;25;26;;;66;;;
08437114 Veringenstadt, Stadt;1708;1595;113;0;1183;106;17;1166;621;214;207;42;;;;;;28;11;;;11;12;;;20;;;
08437118 Wald;2029;1908;121;0;1418;111;11;1407;677;249;263;78;;;;;;27;35;;;21;24;;;33;;;
08437123 Sauldorf;1934;1828;106;0;1373;102;22;1351;767;211;210;67;;;;;;22;16;;;16;13;;;29;;;
08437124 Herdwangen-Schönach;2514;2242;272;0;1789;262;37;1752;704;301;537;66;;;;;;47;21;;;15;30;;;31;;;
