nuts-id	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
NL21	9230.6 	9804.6 	10301.8 	10790.2 	11408.7 	11795.5 	12612.4 	12168.7 	12477.9 	13016.9 	12965.9 	13943.2 
NL22	9852.5 	10567.3 	10921.7 	11402.0 	11963.5 	12625.9 	13320.9 	12809.0 	13344.5 	13878.2 	14230.7 	15359.2 
NL23	9802.1 	10016.0 	10872.5 	11201.3 	11321.1 	12054.2 	12786.4 	12578.8 	12427.6 	12504.8 	13454.9 	14175.6 
NL31	10893.5 	11591.9 	12618.6 	12538.4 	13155.1 	14251.8 	15815.3 	14408.4 	14708.0 	15356.9 	15981.5 	17061.4 
NL32	10629.7 	11295.9 	11957.1 	12262.8 	12985.7 	13992.1 	15279.7 	14069.9 	14360.7 	14831.6 	15236.7 	16487.8 
NL33	10259.6 	10796.7 	11512.5 	11616.2 	12297.0 	13286.6 	14269.7 	13503.2 	13736.2 	14041.5 	14789.2 	16015.3 
NL34	10025.7 	10427.0 	11058.3 	10956.6 	12153.6 	12130.3 	13012.7 	12636.9 	13655.1 	13957.1 	14266.2 	15011.1 
NL41	10128.7 	10600.7 	11008.4 	11376.1 	12457.1 	12848.2 	13679.4 	13031.1 	13625.0 	13960.3 	14212.4 	15402.3 
NL42	9778.5 	10284.2 	10719.2 	11324.4 	11991.8 	12989.2 	13339.4 	12933.9 	13397.7 	13749.5 	14202.5 	15329.4 
NO01	: 	: 	: 	: 	: 	: 	: 	: 	17740.9 	: 	: 	: 
NO02	: 	: 	: 	: 	: 	: 	: 	: 	35835.0 	: 	: 	: 
NO03	: 	: 	: 	: 	: 	: 	: 	: 	5919.1 	: 	: 	: 
NO04	: 	: 	: 	: 	: 	: 	: 	: 	15022.1 	: 	: 	: 
NO05	: 	: 	: 	: 	: 	: 	: 	: 	14652.4 	: 	: 	: 
NO06	: 	: 	: 	: 	: 	: 	: 	: 	14180.2 	: 	: 	: 
NO07	: 	: 	: 	: 	: 	: 	: 	: 	14132.5 	: 	: 	: 
PL11	4331.0 	4812.0 	5152.5 	5423.5 	5616.7 	5892.7 	6201.3 	6297.7 	6706.6 	6919.5 	7421.2 	8258.7 
PL12	5486.7 	6137.0 	6686.3 	6937.8 	7450.0 	7843.9 	8094.6 	8077.7 	8546.5 	8721.5 	9165.8 	10247.5 
